Job Title,Job Link,Company Name,Location,Salary,Job Description,Posted Text,Post Date,Job Age
Site Security Officer,"https://www.glassdoor.co.in/job-listing/site-security-officer-apm-terminals-JV_IC2920849_KO0,21_KE22,35.htm?jl=1009747161950",APM Terminals4.1,Jhajjar,₹3L - ₹4L (Glassdoor Est.),"Opportunity
APM Terminals
To be the anchor of the Security team at a dedicated site/location, lead and manage all the Security related activities, the operations is mainly focused on client site operations for lead logistics, trucking activities, supply chain logistics

The incumbent will also be responsible for collaborating and advising the business on strategizing and implementing security protocols at the site under jurisdiction, in line with local statutory requirements as well as Maersk Global Security Processes and Requirements.

We offer an exciting and attractive career in an ambitious and competitive environment with the possibility of continuous professional and personal development across a world class organization. This is an exciting opportunity for professional development.
 Key Responsibilities
Drive Zero Incident Security Programme by ensuring Secure working practices and identify/help in eliminating the unsecure conditions
Implement, Monitor and Maintain the Security related policies and guidelines in strict accordance with the defined Security strategy
Prepare and Implement Security Plans
Developing Security audit check lists and audit programs and programs for general Security
Participate in periodical Security Audits
Maintaining Security statistics and provide project statistical information & reporting as and when required
Conducting site Security inspections on appropriate use of Security tools, upkeep of tools, tackles etc.
Periodic training for people etc.
Ensuring incidents are reported as per required target
Participating in incident / accident investigations
Develop material for regular toolbox talks for daily, weekly and monthly Security Review Meetings
Promoting Security consciousness at site and regularly engage with employees for better Security performance during their work
Implementation of Security packing practices
Maintain the awareness of active and developing situations relating to Security, Manage Security, IM & BCM requirements at site
Responsible for the local implementation of Security standards in the company on all areas of operational activities including company premises, warehouse Conduct investigation on Security matters and Root Cause Analysis Support the Operations Team at site in capacity building of workforce on Global Security Requirements and Processes
Incident management - Ensure timely reporting of all incidents; investigate, analyse and review all Security incidents and unsecure practices within the sites; report all incidents to centre according to the define framework.
Investigates, analyses and reviews all Security incidents and unsecure practices within the sites
 Who we are looking for
2-3 years of industry experience with minimum 4 years as an Security Professional
A strong passion for keeping our people safe.
Having sound knowledge of local Security legislations, property and process design and operational requirements applicable to logistics industry including sustainable transportation
Good understanding of risk management principles and application of barriers and critical controls
Fluency in English and preference for local language spoken and written
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
Logistics Specialist II,"https://www.glassdoor.co.in/job-listing/logistics-specialist-ii-ftc-solar-JV_IC2833209_KO0,23_KE24,33.htm?jl=1009733500215",FTC Solar3.0,Chennai,₹3L - ₹5L (Glassdoor Est.),"About FTC Solar Inc
FTC Solar is a fast growing, global provider of solar tracker systems, technology, software, and engineering services. We are as passionate about renewable energy as we are about our culture and values. We want to attract likeminded individuals who live and breathe Integrity, Accountability, Innovation and Excellence. We’re humble enough to know that we don’t know everything, so we love bold ideas that disrupt the status quo. Basically, we don’t want you to just fall in line!
FTC Solar is committed to creating a culture of inclusion and diversity. For us, this is not just a set of words or metrics. It drives our culture, creativity, and future success. We support our employees and foster an environment where new ideas and perspectives are celebrated and encouraged. When our employees thrive, FTC Solar thrives. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status.
About the Role:
The Logistics Specialist II plays a crucial role in ensuring the efficient and effective management of the supply chain operations within our organization. This position is responsible for coordinating logistics activities, including warehousing, inventory control, and international shipping, to optimize the flow of goods and materials. The specialist will analyze logistics processes and implement improvements to enhance operational efficiency and reduce costs. Additionally, this role involves collaborating with various departments to ensure that all logistics operations align with the company's strategic goals. Ultimately, the Logistics Specialist II contributes to the overall success of the organization by ensuring timely delivery and high-quality service to our customers.
Minimum Qualifications:
Bachelor's degree in Logistics, Supply Chain Management, or a related field.
2+ years of experience in logistics or supply chain operations.
Preferred Qualifications:
Certification in logistics or supply chain management (e.g., APICS, CLTD).
Experience with logistics management software and tools.
Responsibilities:
Manage and oversee daily logistics operations, including warehousing and inventory management.
Coordinate international shipping activities, ensuring compliance with regulations and timely delivery.
Analyze logistics processes and identify areas for improvement to enhance efficiency and reduce costs.
Collaborate with cross-functional teams to align logistics strategies with business objectives.
Monitor and report on key performance indicators related to logistics operations.
Skills:
The required skills in logistics management and warehousing are essential for overseeing the daily operations of the supply chain. Proficiency in international shipping and reverse logistics allows the specialist to navigate complex regulations and ensure compliance. Strong inventory control skills are utilized to maintain optimal stock levels and minimize waste. Additionally, expertise in logistics operations enables the specialist to analyze processes and implement improvements effectively. Preferred skills, such as familiarity with logistics management software, enhance the ability to streamline operations and improve overall efficiency.

WORKING CONDITIONS
FTC Solar offers competitive wages, growth opportunities, and a comprehensive benefits package.",,,
"Freight & Logistics Coordinator, MEA","https://www.glassdoor.co.in/job-listing/freight-logistics-coordinator-mea-avantor-JV_IC2836047_KO0,33_KE34,41.htm?jl=1009753588650",Avantor3.1,Coimbatore,₹4L - ₹7L (Glassdoor Est.),"The Opportunity:
Workers provided by an employment or temp agency for a limited period of time on a fill-in basis or for a finite project.
The Opportunity:
The purpose of the role is to manage the day to day team operation across multiple business units, within MEA. To ensure all individuals KPI’s and service levels are met, and providing day to day collaboration across multiple business units for timely shipments, and daily billing.
What we're looking for:
Experience: Minimum 2 years in Freight & logistics, Export
Key Skills:
Business & financial awareness
International trade experience
Knowledge & experience of Letters of credit
Hazardous awareness training
KNOWLEDGE, SKILLS, ABILITIES & COMPETENCIES (Those necessary to achieve conformity of products and services)
Customer Centric with strong business and financial awareness.
 Professional and effective communication across all levels of the business.
 Demonstrates innovation and organisational agility.
Self-motivated and demonstrates flexible, results orientated initiative.
 Decisive and highly successful in driving proven business performance.
High level of computer literacy with experience of SAP, Excel, PPT.
You are fluent in French and English, both written and spoken
How you'll thrive and create an impact:
To identify and meet customers’ business requirements. Providing solutions.
To develop a holistic relationship with the business functions within MEA, including warehouses/CDCs
To make a positive contribution to the monthly sales and gross margin targets.
To ensure that the daily/weekly reporting is carried out, for shipments in process, including following the escalation process for shipments on hold.
Identify and/or manage business driven projects to successful completion.
Being involved in providing the forecast, highlighting the risks, and working with the team to meet business expectations
Collaborate with commercial and operations departments to validate and process transactions accurately and efficiently.
Building relationships with all warehouse functions across multiple BU
Disclaimer:
The above statements are intended to describe the general nature and level of work being performed by employees assigned to this classification. They are not intended to be construed as an exhaustive list of all responsibilities, duties and skills required of employees assigned to this position. Avantor is proud to be an equal opportunity employer.
Why Avantor?
Dare to go further in your career. Join our global team of 14,000+ associates whose passion for discovery and determination to overcome challenges relentlessly advances life-changing science.

The work we do changes people's lives for the better. It brings new patient treatments and therapies to market, giving a cancer survivor the chance to walk his daughter down the aisle. It enables medical devices that help a little boy hear his mom's voice for the first time. Outcomes such as these create unlimited opportunities for you to contribute your talents, learn new skills and grow your career at Avantor.

We are committed to helping you on this journey through our diverse, equitable and inclusive culture which includes learning experiences to support your career growth and success. At Avantor, dare to go further and see how the impact of your contributions set science in motion to create a better world. Apply today!
EEO Statement:
We are an Equal Employment/Affirmative Action employer and VEVRAA Federal Contractor. We do not discriminate in hiring on the basis of sex, gender identity, sexual orientation, race, color, religious creed, national origin, physical or mental disability, protected Veteran status, or any other characteristic protected by federal, state/province, or local law.
If you need a reasonable accommodation for any part of the employment process, please contact us by email at [email protected] and let us know the nature of your request and your contact information. Requests for accommodation will be considered on a case-by-case basis. Please note that only inquiries concerning a request for reasonable accommodation will be responded to from this email address.
Privacy Policy:
We will use the personal information that you have submitted to us in order to consider your application for the relevant role.
Your privacy is important to us. Please click here for our Privacy Policy which explains the purposes for which we will use your personal information and the ways in which we will handle and retain your information. It also explains the rights you have in relation to your information, and how to contact us with any queries or requests.
3rd Party Non-Solicitation Policy:
By submitting candidates without having been formally assigned on and contracted for a specific job requisition by Avantor, or by failing to comply with the Avantor recruitment process, you forfeit any fee on the submitted candidates, regardless of your usual terms and conditions. Avantor works with a preferred supplier list and will take the initiative to engage with recruitment agencies based on its needs and will not be accepting any form of solicitation.",,,
"Administrative Business Partner, Knowledge and Information Partnerships","https://www.glassdoor.co.in/job-listing/administrative-business-partner-knowledge-and-information-partnerships-google-JV_IC2921225_KO0,70_KE71,77.htm?jl=1009744410687",Google4.3,Gurgaon,₹2L - ₹4L (Glassdoor Est.),"Minimum qualifications:
2 years of administrative experience in a high-tech or international environment working on core administrative tasks (e.g., travel management, expense reports, calendar management, facilities coordination, etc.).

Preferred qualifications:
3 years of administrative experience supporting executive-level management in a corporate environment, and managing small-scale projects and events from pre-planning to execution.
About the job
As an Administrative Business Partner, you're at the heart of your team's business operations and activities and the soul that keeps your team moving forward. You anticipate the needs of your managers and team members and help them stay focused on their projects by resolving operational and administrative issues before they arise. You move quickly with the changing environment and are up to date with the latest Google products and services. You also use that knowledge to support your team's projects. In addition to being organized and analytical, you possess the strong business judgment and communication skills needed to interact with a variety of people and job functions.

In this role, you will be partnering with leaders in Knowledge and Information Partnerships (K&I) Partnerships, as well as one in Platforms and Devices Partnerships. You will be responsible for calendar and travel management and the planning/executive of team events.
Responsibilities
Schedule, maintain, and update calendar events, with some guidance. Prepare meetings for the executive or team with some guidance.
Execute expense management activities with some guidance.
Assess and advocate for office space needs with some guidance.
Plan and organize internal and external programs and events and manage event logistics in collaboration with internal partners and external vendors.
Complete travel coordination tasks with some guidance.
Google is proud to be an equal opportunity workplace and is an affirmative action employer. We are committed to equal employment opportunity regardless of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. See also Google's EEO Policy and EEO is the Law. If you have a disability or special need that requires accommodation, please let us know by completing our Accommodations for Applicants form.",,,
Customer Procurement Partner,"https://www.glassdoor.co.in/job-listing/customer-procurement-partner-apm-terminals-JV_KO0,28_KE29,42.htm?jl=1009781699385",APM Terminals4.1,India,,No description.,,,
Data Science - Intern,"https://www.glassdoor.co.in/job-listing/data-science-intern-mnj-software-JV_KO0,19_KE20,32.htm?jl=1007738789034",MNJ Software4.0,Remote,,"About Us
Energize your career with one of Information Technology’s fastest growing companies.
You dream of a great career with a great company – where you can make an impact and help people. We dream of giving you the opportunity to do just this. And with the incredible growth of our business, it’s a dream that definitely can come true. Already one of the world’s leading IT companies, MNJ SOFTWARE is restlessly pursuing new ways to operate our service centers, improve our service levels and help people lead healthier lives. We live for the opportunity to make a difference and right now, we are living it up.
MNJ SOFTWARE is an IT services, business solutions and outsourcing organization that delivers real results to global businesses, ensuring a level of certainty no other firm can match.
MNJ SOFTWARE offers a consulting-led, integrated portfolio of IT and IT-enabled services delivered through its unique Global Network Delivery Model, recognized as the benchmark of excellence in software development.
MNJ SOFTWARE service offerings span business and technology consulting, application services, systems integration, product engineering, custom software development, maintenance, re-engineering, independent testing and validation services, IT infrastructure services and business process outsourcing.
MNJ SOFTWARE takes pride in building strategic long-term client relationships.
MNJ SOFTWARE is only hiring those authorized to work in the India and unable to provide visa sponsorship at this time.
Job Details
MNJ SOFTWARE is looking for talented individuals who are interested to be part of ""Our"" journey to build a best-in-class organization, driving to deliver real results to global businesses, ensuring a level of certainty no other firm can match.
Data Science - Intern at MNJ SOFTWARE, you will participate in design, development and implementation of architectural deliverables of custom projects and products of MNJ SOFTWARE. The role includes working closely with lead, testers, customers, project/product managers and designers.
JobID
J0194
Title
Data Science - Intern
Experience
0-1 yrs
Job Type
Permanent / Contract [Depends on Project Needs or C2H]
Position Type
Full time [Monday – Friday]. Employees are required to have flexibility to work any of our 9-hour shift schedules during our normal business hours of (6am - 10pm IST) or (6pm to 6am IST). It may be necessary, given the business need, to work occasional overtime [unpaid].
Qualification
Bachelor’s degree in Business, Marketing or a related discipline
Technical/Functional Skills
 (Master) student who has successfully passed semesters of computer science, data science, artificial intelligence or studies with strong focus on IT and data science.
First practical experience, preferably in IT or Data Science
Knowledge of coding in Python and basic knowledge of visualisation softwares like Tableau or PowerBI
Basics of statistics, data science and machine learning
Basic knowledge of Microsoft Azure and Extract Transform Load operations
Good communication skills to understand (unspoken) needs of product developers and translate this into data requirements
A data driven mindset with a lot of passion for learning the above mentioned topics.
Roles & Responsibilities
 Support the development of portfolio management software and develop automated ETL pipelines using Microsoft Azure functions to capture laboratory experiments.
Use data science to analyze the captured data and support in modelling, optimisation of formula development.
Support basic lab processes like sample handling, equipment and material logistics, ""lab housekeeping""
In addition to laboratory experiments, work on advanced analysis and correlations of consumer testing results.
Tasks will also include designing of dashboards to visualise the analyzed results using PowerBI.
Personal Attributes
 Must be Analytical and possess good problem-solving capabilities
Independent thinker
Process
Aptitude tests, Technical tests, Interviews, Medical Health Checkup
Reimbursement
Best in Industry
Certification
Optional
Location
Remote (Work From Home)
Competencies
Professionalism – Knowledge of general office and administrative support including MNJ SOFTWARE administrative policies, processes and procedures. Demonstrates professional competence and mastery of subject matter; is conscientious and efficient in meeting commitments, observing deadlines and achieving results; remains calm in stressful situations. Commitment to implementing the goal of gender equality by ensuring equal participation and full involvement of women and men in all aspects of work.

Teamwork – Works collaboratively with colleagues to achieve organizational goals; solicits input by genuinely valuing others’ ideas and expertise; is willing to learn from others; places team agenda before personal agenda; shares credit for team accomplishments and accepts joint responsibility for team shortcomings; ability to work beyond normal hours.

Planning and Organizing – Develops clear goals that are consistent with agreed strategies; identifies priority activities and assignments; adjusts priorities as required; allocates appropriate amount of time and resources for completing work; foresees risks and allows for contingencies when planning; uses time efficiently.
Assessment
Evaluation of qualified candidates may include an assessment exercise which may be followed by competency-based interview.
Languages
English is the working language of this above stated post. For this post, fluency in oral and written English is required.
Note
We're an Equal Opportunity Employer: You will receive consideration for employment without regard to race, sex, color, religion, sexual orientation, gender identity, national origin, protected veteran status, or on the basis of disability.
No Fee
THE MNJ SOFTWARE DOES NOT CHARGE A FEE AT ANY STAGE OF THE RECRUITMENT PROCESS (APPLICATION, INTERVIEW MEETING, PROCESSING, OR TRAINING).
General Considerations:
According to policies and processes of MNJ SOFTWARE, the paramount consideration in the employment of the staff is the necessity of securing the highest standards of efficiency, competence, and integrity. Candidates will not be considered for employment with the MNJ SOFTWARE if they have committed violations of national / international human rights law, violations of national / international humanitarian law, sexual exploitation, sexual abuse, or sexual harassment, or if there are reasonable grounds to believe that they have been involved in the commission of any of these acts. The term “sexual exploitation” means any actual or attempted abuse of a position of vulnerability, differential power, or trust, for sexual purposes, including, but not limited to, profiting monetarily, socially or politically from the sexual exploitation of another. The term “sexual abuse” means the actual or threatened physical intrusion of a sexual nature, whether by force or under unequal or coercive conditions. The term “sexual harassment” means any unwelcome conduct of a sexual nature that might reasonably be expected or be perceived to cause offence or humiliation, when such conduct interferes with work, is made a condition of employment or creates an intimidating, hostile or offensive work environment, and when the gravity of the conduct warrants the termination of the perpetrator’s working relationship. Candidates who have committed crimes other than minor traffic offences may not be considered for employment.
Due regard will be paid to the importance of recruiting the staff on as wide a geographical basis as possible. The MNJ SOFTWARE places no restrictions on the eligibility of men and women to participate in any capacity and under conditions of equality in its principal and subsidiary organs. The MNJ SOFTWARE OFFICE is a non-smoking environment.
The paramount consideration in the appointment, transfer, or promotion of staff shall be the necessity of securing the highest standards of efficiency, competence, and integrity. By accepting an offer of appointment, MNJ SOFTWARE staff members are subject to the authority of the Managers and assignment by him or her to any activities or offices of the MNJ SOFTWARE in accordance with staff regulation In this context, all internationally recruited staff members shall be required to move periodically to discharge new functions within or across duty stations under conditions established by the MNJ SOFTWARE.
The evaluation of applicants will be conducted on the basis of the information submitted in the application according to the evaluation criteria of the job opening and the applicable internal legislations of the MNJ SOFTWARE, the Staff Regulations and Rules, administrative issuances and guidelines. Applicants must provide complete and accurate information pertaining to their personal profile and qualifications according to the instructions provided in inspira to be considered for the current job opening. No amendment, addition, deletion, revision or modification shall be made to applications that have been submitted. Candidates under serious consideration for selection will be subject to reference checks to verify the information provided in the application.",,,
Team Lead Domestic operations,"https://www.glassdoor.co.in/job-listing/team-lead-domestic-operations-apm-terminals-JV_IC2942216_KO0,29_KE30,43.htm?jl=1009786079013",APM Terminals4.1,Jaipur,₹2L - ₹6L (Glassdoor Est.),"Opportunity
APM Terminals
The Team Lead - Domestic Logistics is responsible for overseeing and managing the logistics operations related to Full Truck Load (FTL), Partial Truck Load (PTL), Milk Run, and local logistics and movements. This role involves ensuring efficient and cost-effective transportation solutions, coordinating with internal and external stakeholders, and maintaining high standards of safety, quality, and performance.
Key Responsibilities:
Safety:
Ensure compliance with all safety regulations and standards in logistics operations.
Conduct regular safety audits and inspections to identify and mitigate potential hazards.
Promote a culture of safety awareness and continuous improvement among team members.
Implement and enforce safety protocols and emergency response procedures.
Provide safety training and resources to logistics team members.
People Management:
Lead, mentor, and develop the logistics team to achieve high performance and engagement.
Conduct regular performance reviews and provide constructive feedback.
Foster a positive and inclusive work environment that encourages teamwork and collaboration.
Address and resolve any personnel issues or conflicts in a timely and effective manner.
Ensure adequate staffing levels to meet operational demands.
Deliverables/KPIs:
Monitor and report on key performance indicators (KPIs) related to logistics operations, including Domestic logistics.
Ensure timely and accurate execution of logistics tasks and deliverables.
Identify and implement process improvements to enhance operational efficiency.
Coordinate with cross-functional teams to ensure alignment and achievement of goals.
Track and analyze logistics data to identify trends and areas for improvement.
Quality:
Ensure adherence to quality standards and specifications for all logistics activities.
Implement quality control measures to minimize errors and defects.
Conduct regular quality audits and inspections to maintain high standards.
Address and resolve any quality issues promptly to prevent recurrence.
Collaborate with the quality assurance team to develop and implement quality improvement initiatives.
Process:
Develop and maintain standard operating procedures (SOPs) for logistics operations.
Streamline processes to enhance efficiency and reduce operational bottlenecks.
Implement best practices and continuous improvement methodologies.
Ensure all processes are documented and communicated effectively to the team.
Monitor process performance and make adjustments as needed to achieve optimal results.
Cost:
Manage logistics costs and budget to achieve financial targets.
Identify cost-saving opportunities without compromising on quality or safety.
Collaborate with procurement and logistics teams to optimize supply chain efficiency.
Monitor and control expenses to ensure cost-effective operations.
Analyze financial data to identify trends and areas for cost reduction.
Stakeholder Handling:
Collaborate with internal stakeholders, including JCB Team, plant, and logistics teams.
Ensure alignment and effective communication between all internal teams.
Address and resolve any internal stakeholder issues or concerns in a timely manner.
Foster a collaborative environment to achieve common goals and objectives.
Serve as the primary point of contact for external customer stakeholders related to logistics.
Ensure customer requirements and expectations are met through effective communication and coordination.
Address and resolve any customer issues or concerns promptly.
Build and maintain strong relationships with external customers to enhance satisfaction and loyalty.
Qualifications:
Bachelor's degree in Supply Chain Management, Logistics, Business Administration, or a related field.
Proven experience in a logistics or supply chain role, with a focus on FTL, PTL, Milk Run, and local logistics.
Strong understanding of logistics processes and transportation management.
Excellent leadership, communication, and interpersonal skills.
Ability to work effectively in a fast-paced and dynamic environment.
Strong problem-solving and decision-making abilities.
Proficiency in relevant software and tools, such as TMS.
Preferred Qualifications:
Experience working with JCB/OEM companies in India or similar operations or 3pl or 4pl operations
Advanced certifications in logistics or supply chain management.
Working Conditions:
This position is based at a specific plant location and may require occasional travel.
The role may involve working outside regular business hours to address operational needs.
Maersk is committed to a diverse and inclusive workplace, and we embrace different styles of thinking. Maersk is an equal opportunities employer and welcomes applicants without regard to race, colour, gender, sex, age, religion, creed, national origin, ancestry, citizenship, marital status, sexual orientation, physical or mental disability, medical condition, pregnancy or parental leave, veteran status, gender identity, genetic information, or any other characteristic protected by applicable law. We will consider qualified applicants with criminal histories in a manner consistent with all legal requirements.
We are happy to support your need for any adjustments during the application and hiring process. If you need special assistance or an accommodation to use our website, apply for a position, or to perform a job, please contact us by emailing [email protected].",,,
warehouse co -ordinator,"https://www.glassdoor.co.in/job-listing/warehouse-co-ordinator-tech-data-JV_KO0,22_KE23,32.htm?jl=1009787035195",Tech Data3.8,Delhi,,"Job Purpose:


To be responsible for updating data system as assigned by Senior Logistics.


Responsibilities:

Assist in daily warehouse and shipping areas including: Filling and shipping customer orders, satisfying internal shipping requirements (technical service, vendors, etc.), ensuring accuracy of shipments and supporting documentation, receiving incoming material and routing to appropriate area or personnel, filling work orders from production, packaging assemblies and receiving into finished goods, ensuring inventory transactions are accurately logged and overseeing cycle counts and reconciliation activities
Meets warehouse financial standards by providing annual budget information; monitoring expenditures; identifying variances; implementing corrective actions.
Delivers supplies and equipment to departments by receiving and transferring items through SAP system.
Maintains inventory by conducting monthly physical counts; inputting data; issue.
Produce reports and statistics regularly (IN/OUT status report, dead stock report etc).
Implement cost reduction principle in all aspects of warehouse transactions and activities.
Maintains inventory by conducting monthly physical counts, inputting data.
Willing to take job rotation and business travel when there is reasonable business requirement and/or being requested by Logistics Manager and Country General Manager.

Knowledge, Skills and Experience:

Graduated from college in accounting/ logistics/ business administration or relevant field.
English written and verbal.
MS Office
Understand well the relevant law and realistic practice.
At least 3 years in working experience with good 2 years of experience in Logistics.
Preferable with good experience in Warehouse management for IT products.
Hard working and ability to work for a long time with company.
High sense of responsibility
Good problem-solving skill to solve the issues relating to warehouse matters, especially when working with third parties and sales team.
Ability to work independently and under pressure.
Good interpersonal skill
Proactive, creative mindset
Ability to handle sensitive situations quickly.
Ability to multi-task and work under pressure
Advanced organization and planning skills
Good written and communication skill in English and local language

Key Skills

What's In It For You?

Elective Benefits: Our programs are tailored to your country to best accommodate your lifestyle.
Grow Your Career: Accelerate your path to success (and keep up with the future) with formal programs on leadership and professional development, and many more on-demand courses.
Elevate Your Personal Well-Being: Boost your financial, physical, and mental well-being through seminars, events, and our global Life Empowerment Assistance Program.
Diversity, Equity & Inclusion: It's not just a phrase to us; valuing every voice is how we succeed. Join us in celebrating our global diversity through inclusive education, meaningful peer-to-peer conversations, and equitable growth and development opportunities.
Make the Most of our Global Organization: Network with other new co-workers within your first 30 days through our onboarding program.
Connect with Your Community: Participate in internal, peer-led inclusive communities and activities, including business resource groups, local volunteering events, and more environmental and social initiatives.

Don't meet every single requirement? Apply anyway.


At Tech Data, a TD SYNNEX Company, we're proud to be recognized as a great place to work and a leader in the promotion and practice of diversity, equity and inclusion. If you're excited about working for our company and believe you're a good fit for this role, we encourage you to apply. You may be exactly the person we're looking for!

We are an equal opportunity employer and committed to building a diverse team that represents and empowers a variety of backgrounds, perspectives, and skills. All qualified applicants will receive consideration for employment based on merit, without regard to race, colour, religion, national origin, gender, gender identity or expression, sexual orientation, protected veteran status, disability, genetics, age, or any other characteristic protected by law. To support our diversity and inclusion efforts, we may ask for voluntary gender disclosure information. This data will be used solely to improve our hiring practices and ensure fair treatment for all candidates.",,,
Operation Executive,"https://www.glassdoor.co.in/job-listing/operation-executive-cencora-JV_KO0,19_KE20,27.htm?jl=1009776912609",Cencora3.5,Delhi,,No description.,,,
CUSTOMER SERVICE ANALYST,"https://www.glassdoor.co.in/job-listing/customer-service-analyst-mccormick-JV_IC2921225_KO0,24_KE25,34.htm?jl=1009785830239",McCormick3.8,Gurgaon,₹4L - ₹5L (Glassdoor Est.),"CUSTOMER SERVICE ANALYST
GURGAON, IN, 122001
At McCormick, we bring our passion for flavor to work each day. We encourage growth, respect everyone's contributions and do what's right for our business, our people, our communities and our planet. Join us on our quest to make every meal and moment better.

Founded in Baltimore, MD in 1889 in a room and a cellar by 25-year-old Willoughby McCormick with three employees, McCormick is a global leader in flavour. With over 14,000 employees around the world and more than $6 Billion in annual sales, the Company manufactures, markets, and distributes spices, seasoning mixes, condiments and other flavourful products to the entire food industry, retail outlets, food manufactures, food service businesses and consumers.

While our global headquarters are in the Baltimore, Maryland, USA area, McCormick operates and serves customers from nearly 60 locations in 25 countries and 170 markets in Asia-Pacific, China, Europe, Middle East and Africa, and the Americas.

At McCormick, we have over a 100-year legacy based on our “Power of People” principle. This principle fosters an unusually dedicated workforce requiring a culture of respect, recognition, inclusion and collaboration based on the highest ethical values.

Position Overview

This position is responsible for providing excellent customer service and order management while maintaining strong professional relationships with assigned customers, sales and supply chain teams and external business partners. The Customer Service Analyst will be required to use analytical tools,reports, and partnerships to identify operational gaps and develop sustainable solutions to maximize internal and external efficiency and customer satisfaction.

Key Responsibilities

Receives, enters and manages customer purchase orders from order receipt via shipment in cooperation with haulers and warehouses to order billing and
registering customers complaints. Prepares, collects and archives shipping/export documentation. Manages portfolio that includes strategic customers, as applicable.

Analyze customer and logistics data to include service performance (scorecards), number of orders, frequency, shipments, and effective systems and periodic updates to monitor and advise Account Managers and CS Mgr on order status, issues or outlook.

Manages customer and business partners queries and data: answers question, investigates and provides solutions, processes master data and other requests.

Ensures customer satisfaction through proactive communication with customers and business partners to gauge satisfaction levels and resolve as needed.

Investigates and assists with implementing proactive methods for continuous improvement by participating in data analysis and forming corrective action plans for maintaining and improving service, reducing detention.

Utilize analytical tools, systems and data to report business KPI performance and identify and lead service improvements with assigned customer and CCI initiatives.

Qualification & Experience

Bachelor's Degree preferred in Customer Service, Supply Chain, Logistics, Business or related field.
Fluent English, additional language/s depending on the portfolio.

1-3 years’ experience preferred in Customer Service, Distribution, Logistics or Supply Chain.


McCormick & Company is an equal opportunity/affirmative action employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, colour, religion, national origin, disability, protected veteran status, age, or any other characteristic protected by law.
WHY WORK AT MCCORMICK?
United by flavor. Driven by results.
As a McCormick employee you’ll be empowered to focus on more than your individual responsibilities. You’ll have the opportunity to be part of something bigger than yourself—to have a say in where the company is going and how it’s growing.
Between our passion for flavor, our 130-year history of leadership and integrity, the competitive and comprehensive benefits we offer, and our culture, which is built on respect and opportunities for growth, there are many reasons to join us at McCormick.",,,
